id,answer_score
3137942,3
1116222,6
2957060,6
172143,2
5893274,4
4698335,1
2921157,187
5854163,1
5012024,1
6652026,2
563398,7
3844122,4
2870345,1
4676398,6
3999287,1
2456116,14
4009426,7
2075589,1
3992886,6
4576556,2
2215826,2
1162548,2
6959188,204
4797573,2
3843750,5
5762545,15
4198473,16
6663333,5
3133923,1
186867,11
5048495,1
1337223,2
5634189,3
3135367,1
4166280,3
3245447,4
2027998,4
5669158,3
949601,7
3260865,1
281034,1
6632034,2
5774659,3
1252392,3
4830999,2
6829179,645
5987948,1
4719571,17
293964,1
250421,8
6502773,4
2948028,3
1248785,2
1382996,33
5651575,1
6354372,10
5547793,4
345442,4
5581678,2
1919068,5
3268364,2
6859255,4
5412446,1
3705106,27
2036161,2
6847795,41
6967869,2
4856732,2
6975499,130
172023,32
1068048,14
6154725,1
2237929,1
2342356,1
458447,2
1043134,1
1374642,1
2821138,1
5591987,7
311550,1
3229692,1
4716983,3
3962029,262
304072,15
6573836,7
92830,1
2860960,15
6549043,32
5108015,16
5263432,3
176882,2
1942432,4
4759640,8
2299999,1
2143093,15
4770433,6
5810469,23
6668342,15
4874436,1
2317871,48
351074,1
2183560,3
101303,1
5965358,11
6707027,78
2947801,37
952209,1
6874784,13
4960932,15
5911886,2
9550,5
2915056,1
4094300,4
2145201,2
4391178,9
4220181,1
4779285,2
4897566,4
670277,3
6876554,1
178483,1
2966191,8
3321352,1
2607363,4
3878027,3
2679100,21
4090455,4
6766342,2
75863,1
3941599,5
145899,1
337221,15
4962466,6
6943463,12
382694,173
3867895,18
5806365,1
4693547,1
5105103,3
2277781,4
3264893,4
4182250,17
1993324,6
4111361,2
87437,1
6527401,3
4561986,1
428690,8
4789579,2
272688,21
4983440,1
2875495,21
3726391,1
7142562,1
3018514,1
1145132,1
5632512,91
5945737,6
7126767,12
3341627,19
5670333,2
2137581,1
6565164,1
5977444,26
241355,5
6038558,1
2797765,2
2162481,1
3867401,1
5076392,1
1094104,12
4312659,1
5170770,2
4958787,6
6127234,5
2031258,12
3115424,1
4048448,1
5665326,1
5957369,7
140492,11
5039745,22
2822874,46
5770915,25
3065818,3414
5085772,17
6887331,26
4000806,23
5865642,24
197622,1
5940020,2
4271394,9
5747771,3
5520307,1
5991124,1
6840024,143
2137481,625
5919924,99
5982369,8
2152981,2
2269587,1
2207373,1
1390502,1
3742175,83
4999772,15
3261530,43
6519093,4
4768735,1
4678022,33
4003344,10
4916436,51
10050,16
6679803,3
5878389,2
4770760,6
2870643,2
1998410,2
1631061,15
1343443,1
4832058,1
4060203,6
5716659,2
2124224,1
6943157,1
3838205,6
5786612,10
4748180,7
2114363,1
1380980,14
1115339,1
5990771,3
989646,323
2278137,27
2663482,1
6306278,1
2939899,6
4961176,25
5117831,11
2060372,19
3915150,15
1406703,3
5029936,2
6596400,14
247988,7
5078336,1
4764671,6
1528888,297
7062288,59
2207670,31
5065974,3
3843751,11
6739412,2
995637,1
4769101,1
5878257,3
124778,11
2226475,25
4893784,132
6962890,1
4772176,4
3887754,1
5905530,1
2156566,3
6872546,1
1863449,3
4959875,1
3268979,1
2091034,1
3883855,3
6090512,1
3883292,5
6801463,2
4950545,1
5109716,5
4710529,1
123960,8
2606079,54
2124695,1
3327832,2
836867,1
5982867,1
7119622,1
6879521,2
2707380,1
3860006,1
6613140,2
2521055,24
5834344,1
120080,2
6919751,667
140345,3
1171156,1
3837350,5
3327797,5
5826291,6
5669583,2
2186011,1
2976835,4
2187773,22
162787,3
2130313,1
4898236,2
4952799,2
104477,1
2909147,4
5904864,2
3993318,1
4826739,62
123478,1
3128548,5
1326801,1
5841318,4
69522,1
1920719,1
5775234,3
743144,1
1614860,5
5684504,11
2087229,68
4009428,18
1244841,1
4923187,1
692683,3
2896901,2
1015533,6
2270622,23
1686114,3
3218875,3
6593232,4
5297860,14
1288013,1
381903,11
3427721,155
2173781,11
6341804,1
3264836,2
1693833,4
6014097,1
208111,95
2236551,23
6683927,1
6975208,7
2955979,3
5170801,10
2963617,56
13843,1
3789035,11
6526741,1
4633002,43
7342205,2
3128324,2
1203043,1
3742153,7
5849551,27
6629309,2
5621998,4
5806464,1
4519169,8
1209723,14
5069723,4
5982781,43
241498,2436
6484463,18
341051,1
6283603,9
5711895,30
6614933,2
3151798,32
5887610,4
269056,39
120284,7
5986793,3
4763591,11
374387,1
2916799,1
3174534,2
2082370,1
5076579,6
5119135,44
4833,18
305946,1
1728900,2
2332241,2
962894,1
67561,2
4079010,1
2824727,4
4181465,7
2144576,9
2064610,1
3227085,16
6924277,7
2790158,3
1023761,682
7298462,2
3917702,62
6550402,9
1657696,21
5707080,11
3756245,3
4065974,37
1350452,4
4689267,1
5819782,9
3156584,3
4840077,3
5755903,2
6880208,2
3041054,3
1098285,1
997786,1
3914730,5
6943615,3
4663964,2
2068033,3
1412852,1
5766666,1
34864,2
46515,157
3066617,91
5983401,2
1750548,4
2110914,14
1122959,4
71973,16
2056758,1
5404862,1
4737929,1
1218302,29
6669092,150
4080074,3
6168608,7
3370672,1
405885,2
1296576,6
5927732,4
4866567,1
4189838,1
5975098,2
5752725,20
7254728,8
6687667,1
3760250,1
6505381,2
2137791,5
4024136,6
3167321,4
2262654,3
6054010,5
3993895,2
2714523,1
1115991,77
1076347,1
6038580,1
5856765,1
5918115,3
6700402,7
2995529,6
5802915,32
4772318,1
994215,2
5930802,3
5782101,1
5591072,31
4906429,2
5116408,17
3779159,20
4085424,2
4949985,18
2789956,6
6731320,267
4881800,1
2443010,2
2991968,1
1363811,15
5054461,2
3749531,1
5601311,2
3807307,17
3828444,2
1168038,8
1152299,29
3088404,2
1287980,5
4079108,15
6780543,4
2333169,4
3239100,59
4190503,16
6659286,2
240970,1
3018923,1
3335679,1
3828879,2
3003049,1
6973257,3
169954,11
5008079,2
18935,6
5796208,138
6591348,4
32463,1
2980392,5
194310,3
2303640,1
592864,1
3758079,14
6863869,1
1883625,1
3931276,15
4001589,13
6382779,1
5019520,15
5638117,5
1204530,2
2052199,1
5030502,1
2789212,8
4071708,1
366798,2
2470440,1
1224773,1
3915536,1
5642619,3
3852602,3
4016269,4
3034348,2
4940181,1
1099776,4
4002576,1
4702588,1
5748647,1
6906498,2
4984054,11
6621755,2
4866600,1
3824478,16
3987948,3
296352,5
5708446,5
5391001,1
3499374,9
2059617,6
6872086,6
4634753,2
1320021,4
5865860,6
255282,42
2946155,1
2843678,13
3985335,1
4096062,1
969288,1
4808272,42
5542087,2
2238182,10
6965534,1
1264325,34
304105,2
6631757,2
1957362,1
2136194,12
2185219,2
3203878,140
2238346,10
1146808,4
6566993,66
1862377,54
1372184,11
1970782,1
1374504,1
2972916,3
1058519,1
2726315,11
4411463,44
2199902,3
2092287,2
4852061,1
6912443,3
4984973,1
101758,9
462636,6
3923923,1
6855498,1
1933179,2
1219276,18
908997,11
3386399,16
6637304,1
2726316,29
1884623,1
6506716,1
2328106,13
2085277,2
329210,1
4953404,7
141797,4
2095101,2
2207775,9
1997337,2
6747010,1
3649339,1
3362243,2
2280526,105
5713830,1
5943195,2
280714,1
6653166,3
4811505,87
1304174,27
5932752,5
179542,56
5842187,50
3127275,1
327270,7
249145,4
3027110,77
4087268,44
77406,16
6827918,14
6476640,2
5053079,11
6446174,1
3705107,7
3253476,1
3253890,1
2128286,1
5093815,1
6782443,11
3179670,2
7078319,2
1163630,1
3235908,1
1044369,1
1007699,2
3228608,11
5769661,14
5934296,6
3018515,1
2830771,9
4763833,16
3669489,63
4625836,8
4080728,131
5747772,14
6715216,5
3797689,389
1257300,1
4083199,10
6156174,1
6595509,2
5617787,3
2059453,2
3756049,2
1261128,2
5038331,2
390366,4
1012987,1
4783128,2
4670174,1
137219,3
2277782,2
3076943,9
3159296,26
1918121,42
1092479,1
2685511,1
6656961,4
6858228,23
22820,1
997679,39
1988555,31
1170862,29
6980248,3
132485,1
6594556,1
2789838,2
3463697,124
2221475,1
2115676,1
4938686,2
3955878,1
1186217,2
242347,3
3836741,1
6376007,1
4166762,215
1957034,12
7155502,9
3285046,6
7383924,1
2599232,12
6311950,19
4291510,6
5226891,4
3570373,7
7155503,6
4597804,2
3313477,4
6168998,1
4169043,3
2303177,2
6726671,42
3097675,7
4901314,26
5089522,1
4810677,2
5723826,1
1814027,1
4874465,76
3122469,5
2264588,12
6686501,3
2054086,19
4646238,6
2065548,3
2924492,3
1411945,10
4293008,5
4139809,17
1978709,34
317543,2
2829439,10
6895712,1
5898378,5
4031944,108
4526689,1
4042821,1
5015363,11
2641578,4
6605608,1
5937329,1
5778645,2
1233362,1
2301501,1
1312173,4
4058542,85
1116154,1
3182122,44
5691,5
6671146,18
2249254,155
543444,3
1887334,1
6621929,1
4686685,1
4796057,4
3887274,3
69453,74
3802400,48
4906095,1
1084199,253
6747350,13
469019,3
5177095,1
1108867,64
3984733,403
5787536,352
1218376,82
5929772,41
7162358,1
372551,1
3828082,80
5825946,11
4079037,2
4866643,320
14069,574
1295871,37
1107598,10
3906737,1
1918466,1
212357,1
6778346,1
2543395,9
2331101,1
3795264,2
2815316,1
2926486,2
6566000,1
5382654,72
2046537,2
2139354,3
3898764,2
6699939,2
6561257,1
2995807,49
7025532,2
6036610,5
4902875,3
5724549,2
485593,2
254173,1
4021232,1
4442615,1
900024,1
6411733,1
2969296,22
6940752,24
6877411,10
5752765,2
2276507,1
865151,14
2907031,1
3398627,134
1528889,2
3343356,2
5969124,3
4032131,15
61082,1
4682527,10
2019927,1
5927604,6
394207,44
3153344,3
6454411,3
273816,3
6887879,94
964103,14
6024110,1
3898307,36
2955185,22
4984734,175
2478587,7
4062407,2
5810470,1
1331234,1
3102492,1
4834628,2
5080598,2
4861035,1
5841860,1
4014265,27
3812463,1
1874573,28
5575733,1
932611,11
2807207,1
1201820,7
5943658,1
6573578,2
4930717,2
3384578,1
5405053,3
5433514,7
3717207,8
3226700,3
1965862,3
222794,2
657005,2
5104689,2
1233863,10
3174535,1
1586067,1
6559244,7
3741879,87
5645908,2
296154,335
5670919,1
4048592,1
273611,7
4485303,2
6968691,1
2068157,2
5849359,3
444067,1
4811401,48
2098827,3
5646020,1
3851789,3
5704401,9
4000765,4
3089923,2
5943255,21
5124824,1
4327144,9
3246195,2
1989237,2
5014161,626
5957870,2415
6682619,13
5947301,1
3993789,1
6539600,1
4016653,1
1911094,5
6777980,2
5616677,6
5923640,15
5737188,12
5185158,22
2854308,5
2814075,1
2004090,1
2145405,1
3120141,2
1285448,20
2332845,1
4025729,1
5880234,2
3018841,2
3135933,10
3261592,8
3989570,20
2110814,1
6782935,3
3335478,15
6112892,43
3907131,1
2677597,1
6561127,1
6363162,1
358258,52
856887,2
6404365,2
1096167,7
5897579,2
1191220,24
4068367,2
5920862,2
5990684,1
3930529,1
6212330,12
437992,618
4818464,2
1281183,4
4166350,16
297529,253
2318378,75
4033359,22
1974260,11
4984975,50
5741079,6
1904135,31
4671294,22
2037260,12
1992411,3
4018050,2
4099529,6
2091355,1
3034719,1
4220364,1
5848858,2
284596,1
4959504,2
5880127,1
2513191,1
6602342,2
3839889,25
5397885,3
6799963,10
5905825,1
2677569,110
6535269,11
5629983,1
1300335,4
4779600,15
6978824,3
1358457,1
1186782,1
7069720,57
1428934,2
2492092,2
2620393,1
4095219,1
445331,37
4678085,16
3520393,10
1253750,16
1366535,1
5783517,1
325503,3
5928279,1
6712749,1
2278139,2
4720830,1
3010851,1
5713340,81
3938031,3
5101518,4
4811350,2
1351736,1
99472,24
2308055,9
1671808,3
5124862,3
161289,1
1344978,59
3591016,1863
6047218,168
1492943,201
5811851,29
1557216,14
6304467,3
258706,2
5952934,1
958075,59
6038262,22
4056074,2
2499274,39
216178,5
960604,5
4463899,3
5124945,2
6694250,17
3822750,2
5707396,1
6828832,12
3413306,34
1248504,1220
4008403,169
288427,141
1052069,1
2830022,2
1887013,1
6099571,131
2868958,3
3269657,1
2027781,1
3751884,2
1905153,1
2903931,3
6731119,1
4819998,4
6801860,1
6754082,7
60956,2
186094,2
302888,1
3765759,2
3164958,77
5799682,1
222620,1
274271,14
6652725,11
3891140,3
5871450,4
2246551,4
4163832,1
4772030,6
2978583,1
6369943,10
4599050,8
5708645,1074
6903684,47
4859047,1
3470108,2
4915624,1
1166483,8
1961045,180
4933267,7
2190746,1
657136,4
3021170,2
5476127,2
5633664,1
4012861,1
1103070,2
982387,1
1296899,1
5093718,5
6191771,68
1280585,1
4816673,40
4669022,14
4032938,2
6596882,2
2293251,2
6276322,1
3229255,1
5109557,31
5575200,8
5517819,2
3506282,3
1572247,1
684708,6
1770583,2
2005166,15
3471507,158
3521474,17
1473013,8
7054274,4
1929953,7
2004185,3
5981063,1
6952183,7
94223,5
186868,4
437748,1
1891007,2
4953005,13
4811305,1
2808416,6
6247590,1
4710908,3
1324624,15
3478994,1
6793505,15
4976097,4
6895066,1
158659,4
6785898,2
5795434,1
3159728,2
5637732,130
1092032,4
2176830,1
4110504,6
1147091,1
2900383,2
1115414,1
5428140,1
3000600,8
264011,2
4693973,1
5719588,3
4039742,1
1130987,2
5985441,6
1944375,36
4171915,9
2922996,1
2371017,1
957914,2
5183950,11
1139224,75
5653952,6
6747213,24
715526,56
7063886,1
3500420,3
2024876,1
1237652,1
3528667,1
3183501,3
3073577,3
2301644,1
1973816,2
549231,1
166715,2
6951173,7
6769913,1
2969106,3
4016703,52
1147226,99
3718750,1
2798318,4
1397179,3
6936524,1
3980200,2
116484,4
1665137,13
7041122,75
3420637,4
1736187,3
5405253,13
3420854,5
68936,74
296045,1
5873046,13
6921320,1
1896988,1
3876835,29
3082822,3
1606762,1
5691372,1
3730290,10
3832281,1903
3116194,36
5953001,9
6140388,26
5965998,20
3726336,2
3096919,4
5787472,1
3828290,1
3988222,1
6551061,10
58700,44
951154,3
5858708,10
5928063,1
164630,3
6348974,3
6983811,73
678287,6
1341312,2
2893311,2
2908637,7
59616,2
2176752,1
477547,1
1312004,3
3898677,18
6882579,9
3221871,21
5935424,5
101538,1
4016532,14
2015968,2
1902572,132
3018365,19
4834868,3
1243526,37
5832270,1
3820926,1
2095044,2
6832098,1
2309902,3
6004857,13
3127917,3
3442056,14
2052233,7
4540933,95
2987506,2
1210235,5
2166858,2
4944980,43
3405693,5
3836493,31
2492615,19
1151844,1
4094322,2
4942251,2
6919499,35
4698507,1
5778914,2
2253999,1
389928,6
4958883,3
6951276,2
3107295,2
4723507,1
5615800,287
2925300,38
1973899,30
2979009,8
6802205,40
446333,18
2684363,2
4671816,12
5099513,1
5838075,151
1362756,469
5688997,3
390257,55
6613344,12
406034,7
4999614,1
1001424,1
6022306,161
2293455,39
4741182,1
2979137,16
2420491,8
5732383,3
2385751,14
5298938,445
4620153,2
4427736,2
4456261,1
1444261,2
3875489,1
2977361,31
955764,23
5893039,10
62310,1
4005587,1
1179577,85
3182548,9
6660811,3
3098027,6
5888474,1
202595,1
4026692,11
2816529,7
2195372,59
5805785,2
4979872,1
1927068,1
1154857,1
3252429,168
5038517,766
6900194,7
1965064,3
3204507,1
5116013,4
3889836,3
1978413,1
934443,6
5005768,33
5076688,1
1276085,31
2942668,2
3061487,1
4648200,2
1040359,1
4159320,2
6668929,1
2114992,1
1264357,45
5705511,3
4159165,1
147751,18
997947,2
2436473,50
1659244,5
4769199,2
5981802,1
2081242,19
4683999,4
404074,1
2247681,1
1162641,4
4882410,3
216496,1
2806595,265
5862253,1
2811194,2
3053502,11
3036943,1
3749892,20
4892015,3
5701367,3
4189801,93
635697,605
807265,456
6334445,4
257413,9
5894874,15
6566835,3
120945,36
7005524,1
6981070,1
1092358,1
6734715,2
4498418,2
1285997,1
4803621,1
1245987,16
3058967,3
2293559,5
1084000,2
850711,17
317284,7
3499375,1
3805002,7
4991798,2
485071,7
1876398,3
6312865,2
2327271,1
4796421,1
5615742,1
4827478,4
6629478,39
5975766,1
5803977,16
6312653,6
6053838,3
6550256,729
6816853,13
100369,15
1342667,2
4779532,11
4918639,22
3187448,1
2784118,2
6817170,1
3441611,10
2053113,124
1141900,2
3917059,1
4982579,3
4959021,1
3743662,13
5109426,1
6591170,1
177148,2
3805572,1
6620903,2
2106927,19
6277640,2
226851,1
6895742,18
6825269,17
6503546,12
6069535,374
5305954,1
6551791,4
3718876,3
2207911,2
2901170,1
1235987,2
4778777,23
6572852,83
5869571,4
4673384,1
2067081,2
2278490,5
5933582,1
5109143,2
6605925,1
70065,1
6824788,2
2106841,11
2283537,43
1152822,2
5771959,2
4867763,1
6198198,2
939685,3
6529659,56
3177634,7
1014906,7
6014899,279
1343332,8
3269463,2
6903161,2
4789409,1
6433460,1
621160,3
6815302,1
1787493,1
100274,1
2211238,1
5109578,1
2340888,7
7141326,24
6801149,2
3135568,23
108941,28
4142368,18
5818123,1
2883177,2
4732885,8
2301166,2
1253382,13
5106090,25
4625837,8
2692957,7
2809786,401
142506,1
4657344,14
3050625,1
5850090,1
2797970,2
5085810,1
5313580,5
288553,2
3907402,68
2656054,1
6262796,7
3074669,1
5275668,2
6845413,3
2284737,1
950638,9
2827719,4
245470,84
2172778,15
1260538,4
241379,28
6006061,79
1178165,38
3655296,2
319527,2
6596341,17
2307804,1
1250088,2
3159266,1
3017928,15
185704,3
1267674,10
2036899,4
2900968,1
4773625,4
6553818,36
4088067,7
1047121,19
2355302,54
6460404,1
1071073,56
64332,1
3015811,6
2520834,1
4448541,14
4626260,21
5298116,6
6927767,2
6778185,9
5667499,24
5084955,16
933238,9
7121518,1
1351674,33
5008432,8
2698558,16
14201,3
1296226,1
6597116,11
6699040,1
1973900,281
5844058,1
5614610,76
3859331,2
3135534,1
6636834,1
793167,3
757518,2
5839171,3
6660099,1
3116590,7
5662417,20
190004,1
3141119,1
3741457,5
4165415,6
3314708,28
2291706,5401
3259406,84
4045961,44
6595964,4
242721,10
1946894,3
3197758,2
6943436,3
5912607,1
4952969,4
5967400,5
4744775,16
2814392,9
45130,1
850964,3
95244,2
3754500,1
1067865,1
1040613,11
5952646,2
6261452,8
559009,1
6765382,2
3893996,3
5985988,2
4197778,9
3821363,35
5639750,2
3641243,1
2995076,1
977484,2
958391,2
1926149,22
5617995,1
34132,2
350951,2
1228250,2
5339930,1
2790272,49
6656962,3
3120839,2
5708678,30
200738,5
5614637,13
4094468,2
1887186,21
2924196,3
4100457,47
2809236,21
291793,8
1338124,2
3745462,1
4048185,3
241641,3
7205869,1
3883244,2
4662484,6
5075930,26
5326457,5
2698291,10
2585939,2
1649699,66
6912551,1
5627695,3
3270647,1
1296809,2
4975742,53
6633175,2
5030014,9
7148424,22
7077129,8
6918967,3
6881121,2
14423,6
5777547,1
1593703,5
2024501,15
2825123,4
3999673,11
249301,13
2869059,2
4702965,4
3081853,114
1903420,2
3082549,1
2017785,6
122942,5
5887601,297
2050597,31
4022937,12
5631601,1
4017384,1
2995081,2
4072039,5
424474,1
304282,1
2024173,3
5975429,2
1412818,2
3162346,5
137274,2
1879167,4
4980686,3
6817318,3
2007639,45
4312568,20
397812,3
2332533,14
5841743,1
6590723,1
3613060,1
3005641,2
6952839,2
2299955,8
4819281,1
699700,23
5077938,20
5040919,10
2895225,8
1282744,2
5080498,2
7261664,29
2338895,8
3222800,1
4678324,12
3104886,16
5937,2
4683020,4
6411945,9
3727564,1
5045258,19
5117028,4
6687495,6
3305699,7
4376658,491
7369195,4
5582217,74
1168626,2
6119972,3
6723825,1
305305,157
5911762,1
977713,26
5625320,1
1346840,1
2013083,5
2294136,5
5220736,17
701092,96
3140010,3
4836201,19
5983743,3
5943059,1118
156620,3
2815132,3
2194013,11
756164,15
3379301,1
321297,1
4718442,1
3203326,10
2223382,2
4844868,2
5000316,31
422705,15
6793476,1
4385098,2
124197,2
3140177,3
2838003,25
138141,1
3779509,1
6629968,4
3206576,7
5849887,2
4625108,1
5787130,1
7369639,3
145754,17
2114481,3
6215,177
3261053,10
4771856,24
950439,1
5684915,1
2962924,4
5093871,16
2837533,1
1957722,343
249501,6
3081652,2
2888548,2979
1393207,480
6514476,352
297537,1
4002199,1
3073903,40
5127250,1
2613335,53
5191141,21
3142141,8
6045663,27
2391844,3
3800171,1
1052147,5
996930,2
6599447,2
5759016,1
2126807,1
452817,3
3724099,1
3975865,1
2032384,3
335949,2
1023743,2
6782395,3
2168974,2
3154777,5
80025,2
2183405,1
3003520,1
3867526,4
3758353,12
3612926,2
6048064,1
3906878,1
5575317,2
155183,22
4133993,16
5077939,6
6670068,8
343221,244
2122657,1
4092564,9
1081660,5
1801473,1
398674,1
4174529,3
2576690,8
2297966,5
4448707,2
6958536,2
3969483,2
1999895,4
5999358,1
1399148,13
6865728,3
6063138,6
3734606,2
1387952,2
1366507,1
2797647,2
5672364,3
5548907,1
2176864,2
5779100,2
3011103,2
2107203,1
2790063,4
5505415,11
5018278,2
1029537,5
3127654,3
2064297,4
2140311,2
5010555,2
127400,2
6686986,3
4112904,1000
3200724,2
5569725,6
6764871,3
118752,2
850254,1
4775230,2
2067225,1
2776202,3
5421107,28
4020049,1
4727922,16
6849286,3
5637973,63
2799556,7
1272858,3
3743674,8
6606188,183
2822635,125
2853775,42
2302206,2
4875426,3
1934624,2
179549,2
4764927,3
5716991,2
6731672,2
4880884,1
586200,5
220042,2
5874285,1
4985723,1
4882390,2
6798048,68
2714164,1
270434,5
6333120,2
5708899,22
2210743,1
4659896,1
6021941,3
1135050,32
5589699,3
4456638,26
4083527,1
5419514,1
1465621,3
1053017,23
1895026,11
4077324,1
224669,3
7413768,2
1157616,7
4029970,1
2300056,39
404750,31
2896420,1
6600157,4
3207038,3
6672081,5
4476957,5
5921850,2
3881422,12
5879371,7
1859342,3
5862789,110
138949,43
4961055,10
6112197,37
288538,21
2184145,8
4952826,5
5539471,1
2796119,24
5110359,1
2813756,3
6112198,1
1880216,1
5912754,7
433953,4
4048360,2
71270,2
2869001,2
6706253,2
1288051,1
7340845,2
5086252,1
5737473,5
3954441,1
1176833,65
3841914,1
5578753,3
6127672,1
4049355,1
4307008,2
82047,1
5382661,2
1744316,3
5805037,2
6941924,1
5857823,1
5592000,3
3899267,3
1179557,1
3130680,6
4855860,6
6566223,1
5975592,5
5759873,1
3198285,2
4527561,38
2838757,2
53685,23
4142778,33
4002887,7
5640147,1
2075647,15
4462364,7
3138229,1
7362657,1
3930293,3
1139608,2
5685016,2
2971389,1
2223454,2
6625448,1
1077072,24
1022195,77
4956365,8
2173661,1
6873792,1
5022755,3
3055782,46
4124062,2
6684419,1
2798095,3
3222902,1
4976138,1
2083457,30
5669459,1
5620720,3
5750470,2
4681010,2
1047277,2
4298663,7
3470750,2
2184969,4
3970121,4
6753314,19
2340651,1
6633544,6
3791208,192
1196154,11
1240888,4
521557,2
163420,65
1386181,90
3237667,2
3224863,85
1369179,6
1319531,1
4906070,2
6521487,28
3005821,2
2019119,3
5005201,13
6368710,18
2204852,14
5122091,18
5759897,7
6864729,15
4943407,8
5454531,2
2613586,5
6970671,1
5611395,1
1543528,1
7021038,11
3818285,2
6502862,1
2963917,1
4960577,6
5839621,3
4334228,2
5663693,1
3011205,4
1056468,39
4669100,5
2400527,2
6951037,29
5732025,14
2051969,4
6291264,9
4605606,1
3054272,1
5889483,2
4109946,2
5677682,7
5884042,1
2292730,11
6046317,7
2691881,14
4836066,2
3733772,1
1665338,2
16682,3
1246409,1129
3906915,1
5039115,5
6826715,3
6719068,2
4095595,2
6030222,1
4820004,14
4693553,7
5818065,2
2068241,16
6998,114
5607738,2
3790021,1
1472349,1
4811810,28
1108624,1
4840222,1
4001634,1
3899110,2
955421,12
4798996,1
266201,1
5733095,4
849633,1
2849950,1
953504,1
4077123,41
5644390,4
4822984,29
62642,7
1234497,16
1405058,2
3087685,1
6536201,1
4949330,9
4907318,4
276719,1
2091334,18
2325575,5
90912,30
3805984,1
234951,2
938886,1
5133986,1
297036,13
6839741,5
3994008,1
4725027,11
3151756,11
4984189,3
3807717,10
2470934,1
6906410,3
6310,1
1121681,2
1060479,1
2790422,1
2829441,1
4015987,1
3355959,8
949633,2
2942167,5
7354032,31
3716112,4
6023535,186
5747954,64
5117360,4
4355205,6
5910067,12
5889326,2
5573925,4
6030855,2
4198016,10
5592207,2
842,3
6717092,3
6514081,1
2107289,80
4010143,17
3761958,2
3883375,13
6897227,6
6697393,1
2262410,3
4962408,1
5722352,116
1208346,127
2289719,3
4803652,1
996659,2
6919406,9
3931135,4
563408,8
2212521,1
6841290,7
5764297,34
4724659,1
4755982,439
84899,1
6582634,1
486927,8
4611698,1
5956106,3
266910,7
5748169,1
2996444,1
2191909,1
6785195,3
6839756,2
3042867,12
4800864,352
3211444,25
2628120,204
3095119,10
3585273,1
6966812,3
957491,21
6566279,1
1343336,2
958606,4
3979867,1
2262907,1
1013642,1
1013158,1
174508,134
3023158,17
5794717,1
226195,1
3993686,1
1975038,1
1934625,2
172160,1
3034205,7
6620872,3
6904312,29
2168948,6
1045513,9
5860140,1
4031697,1
1374236,31
5093819,4
438327,2
1084744,2
5241032,2
101040,2
4859632,11
234091,5
7192447,3
180268,17
3860521,1
2012046,1
2268603,78
4562629,121
1076211,1
3867906,86
2161403,3
90223,2
23305,4
4867491,1
194963,66
1013550,4
6168483,445
5976546,78
2420130,1757
217259,5
4228417,2
1586161,30
6677370,45
1328851,7
1242682,2
4862444,1
3192093,14
2102596,21
368908,6
43635,1
909007,30
2748930,1
1241129,2
3096986,8
2980089,3
2066284,11
1005818,6
4856540,4
163484,1
1888404,2
5070307,2
2340859,2
1005477,1
318711,228
5832969,5
5122488,2
5094435,19
3175561,18
163591,5
763494,5
138345,2
6684420,2
5954281,5
6571202,1
5692816,3
3175387,16
6204172,2
2999889,4
293246,1
2020969,102
5427480,3
1034772,1
6943592,485
22653,4
4930353,1
2963374,1
5283653,1
551173,16
